g	nindividual	cost	p(0)	p(1)	p(2)	p(3)	p(4)	p(5)	p(6)	
0	10	0.702102	129.349	1578.42	0.225151	22928.6	904.092	172583	7034.35
0	3	1.40523	223.124	848.781	5.8813	62110.4	689.666	253072	6829.48
0	5	4.5631	179.378	5111.71	1.80267	22209.3	964.705	880930	6604.11
0	1	6.37869	233.135	3551.17	3.1872	87392.5	964.048	246777	3780.19
0	4	8.07684	248.154	1954.01	7.75805	56659.7	534.067	577121	9759.66
0	7	8.17554	264.791	4974.61	2.37186	39248.3	125.829	364921	2895.23
0	6	14.7365	258.572	2632.57	9.62151	66397.5	811.396	581331	8103.46
0	2	18.1241	242.579	9797.41	2.61499	66340	660.989	717687	9025
0	8	21.8217	292.36	5193.43	5.5799	32464.6	404.264	409820	671.679
0	9	29.6166	149.576	9895.24	6.99594	67085.7	341.035	661901	1971.92
1	10	0.702102	116.414	1736.26	0.247666	20635.8	813.682	155325	7737.78
1	3	1.40523	223.124	848.781	5.8813	62110.4	689.666	253072	6829.48
1	30	1.85948	180.177	850.913	5.90172	61630.5	685.483	886385	6876.98
1	27	2.44442	290.453	856.161	5.83346	32253.9	408.286	253631	2674.43
1	5	4.5631	179.378	5111.71	1.80267	22209.3	964.705	880930	6604.11
1	28	6.00752	265.888	5154.39	1.81256	22244.8	157.662	360140	2870.71
1	29	6.03451	234.232	5096.51	1.8149	87664.2	970.494	875485	6641.37
1	1	6.37869	233.135	3551.17	3.1872	87392.5	964.048	246777	3780.19
1	22	7.4651	247.324	1936.06	6.93146	56818.3	339.659	582125	9681.13
1	26	7.63164	263.437	4956.51	2.37002	39441.7	807.681	365893	2901.79
2	10	0.702102	116.414	1736.26	0.247666	20635.8	813.682	155325	7737.78
2	32	1.35107	178.396	861.122	5.85307	32176.3	408.564	253834	2680.53
2	3	1.40523	223.124	848.781	5.8813	62110.4	689.666	253072	6829.48
2	33	1.50739	223.617	844.252	5.85304	39293.7	814.26	251279	2923.25
2	30	1.85948	180.177	850.913	5.90172	61630.5	685.483	886385	6876.98
2	27	2.44442	290.453	856.161	5.83346	32253.9	408.286	253631	2674.43
2	37	2.63828	288.849	855.191	5.84138	62130.3	693.962	253624	2673.22
2	5	4.5631	179.378	5111.71	1.80267	22209.3	964.705	880930	6604.11
2	40	5.32753	248.915	1747.63	6.8894	57014.3	813.001	154665	7702.65
2	38	5.45935	263.882	4995.77	1.8297	22423.2	810.678	358892	2877.21
3	45	0.412444	261.956	4967.3	0.245259	55552.8	810.697	360973	7748.37
3	10	0.702102	116.414	1736.26	0.247666	20635.8	813.682	155325	7737.78
3	46	0.786116	116.716	1734.62	0.246551	20592.1	962.189	155966	6612.86
3	49	1.25253	224.193	844.359	5.9101	56879.2	821.427	249247	7679.13
3	32	1.35107	178.396	861.122	5.85307	32176.3	408.564	253834	2680.53
3	42	1.39265	180.543	857.479	5.84523	13374.3	407.512	878896	6837.79
3	3	1.40523	223.124	848.781	5.8813	62110.4	689.666	253072	6829.48
3	33	1.50739	223.617	844.252	5.85304	39293.7	814.26	251279	2923.25
3	48	1.54941	179.596	857.709	5.92548	61675.6	682.625	255075	2673.29
3	30	1.85948	180.177	850.913	5.90172	61630.5	685.483	886385	6876.98
4	59	0.184698	222.233	842.136	0.245386	61634.5	531.018	363963	7819.82
4	56	0.241306	117.003	1728.97	0.244779	20549.1	680.176	882885	6564.43
4	45	0.412444	235.761	5464.03	0.220733	49997.5	729.627	397071	6973.53
4	54	0.500571	63.8502	851.288	5.88075	39507.3	683.202	253521	2926.43
4	10	0.702102	116.414	1736.26	0.247666	20635.8	813.682	155325	7737.78
4	53	0.734954	179.811	860.922	5.90072	13371.1	678.15	252582	6842.69
4	51	0.769114	117.769	1725.87	0.250091	20565.3	813.331	156814	7726.44
4	46	0.786116	116.716	1734.62	0.246551	20592.1	962.189	155966	6612.86
4	60	1.06188	222.205	852.126	5.90088	32113.1	825.966	247966	7742.99
4	49	1.25253	224.193	844.359	5.9101	56879.2	821.427	249247	7679.13
5	70	0.176949	116.94	1741.39	0.220695	49615.5	676.057	879174	6502.14
5	59	0.184698	200.01	926.35	0.269925	55471	477.917	327567	7037.84
5	61	0.233313	234.164	1742.58	0.222681	20704.4	971.775	395489	6958.76
5	66	0.239763	224.193	1744.05	0.248307	31842.4	820.046	155627	6627.86
5	56	0.241306	117.003	1728.97	0.244779	20549.1	680.176	882885	6564.43
5	45	0.412444	235.761	5464.03	0.220733	49997.5	729.627	397071	6973.53
5	54	0.500571	63.8502	851.288	5.88075	39507.3	683.202	253521	2926.43
5	69	0.598111	117.334	839.468	6.65538	20525.4	811.213	362597	7716.47
5	10	0.702102	116.414	1736.26	0.247666	20635.8	813.682	155325	7737.78
5	53	0.734954	179.811	860.922	5.90072	13371.1	678.15	252582	6842.69
6	70	0.176949	105.246	1567.25	0.242765	44654	608.452	791257	5851.93
6	78	0.177021	116.432	1731.11	0.244913	49643.9	686.844	875506	6541.73
6	59	0.184698	200.01	926.35	0.269925	55471	477.917	327567	7037.84
6	71	0.225352	116.291	1751.72	0.222082	49774.1	689.373	253835	2913.34
6	61	0.233313	234.164	1742.58	0.222681	20704.4	971.775	395489	6958.76
6	66	0.239763	224.193	1744.05	0.248307	31842.4	820.046	155627	6627.86
6	56	0.241306	117.003	1728.97	0.244779	20549.1	680.176	882885	6564.43
6	72	0.263675	222.971	1750.64	0.248878	26629.8	824.177	154644	7710.62
6	73	0.274694	235.537	5440.34	0.247665	20611	807.965	394152	6978.17
6	76	0.385584	116.585	5028.1	0.243403	13449.6	675.179	255041	6852.88
7	70	0.173526	115.77	1723.98	0.218488	40188.6	547.607	712131	5266.73
7	78	0.177021	116.432	1731.11	0.244913	49643.9	686.844	875506	6541.73
7	59	0.184698	200.01	926.35	0.269925	55471	477.917	327567	7037.84
7	84	0.188644	198.406	933.789	0.224251	55138.3	684.241	325636	7091.39
7	81	0.206072	199.484	1753.09	0.268055	55583.5	981.241	395389	7019.68
7	71	0.225352	116.291	1751.72	0.222082	49774.1	689.373	253835	2913.34
7	61	0.233313	234.164	1742.58	0.222681	20704.4	971.775	395489	6958.76
7	66	0.239763	224.193	1744.05	0.248307	31842.4	820.046	155627	6627.86
7	56	0.241306	117.003	1728.97	0.244779	20549.1	680.176	882885	6564.43
7	83	0.246387	222.246	5492.3	0.246395	20704.7	800.543	391302	6917
8	100	0.0502933	117.05	1755.38	0.221473	50204.3	222.217	254782	5430.51
8	70	0.164015	104.193	1551.58	0.240337	36169.7	492.846	640918	4740.06
8	78	0.177021	116.432	1731.11	0.244913	49643.9	686.844	875506	6541.73
8	99	0.182179	115.585	1755.71	0.219897	31784	544.807	708780	5283.99
8	97	0.184592	197.385	925.542	0.270999	55656.2	684.215	328707	7001.87
8	59	0.184698	200.01	926.35	0.269925	55471	477.917	327567	7037.84
8	84	0.188644	198.406	933.789	0.224251	55138.3	684.241	325636	7091.39
8	94	0.199122	116.093	1711.88	0.26956	55870.5	984.232	712768	5238.4
8	81	0.206072	199.484	1753.09	0.268055	55583.5	981.241	395389	7019.68
8	96	0.209972	99.6707	1765.55	0.269958	50001.6	985.836	392710	2898.5
9	100	0.0502933	107.429	1930.92	0.243621	45183.8	199.995	229304	4887.46
9	108	0.136443	105.141	1702.52	0.238232	55448.6	488.411	638014	4781.01
9	103	0.154729	117.704	1744.07	0.218207	50496.7	547.521	708418	5325.27
9	70	0.164015	104.193	1551.58	0.240337	36169.7	492.846	640918	4740.06
9	78	0.177021	116.432	1731.11	0.244913	49643.9	686.844	875506	6541.73
9	99	0.182179	115.585	1755.71	0.219897	31784	544.807	708780	5283.99
9	97	0.184592	197.385	925.542	0.270999	55656.2	684.215	328707	7001.87
9	59	0.184698	200.01	926.35	0.269925	55471	477.917	327567	7037.84
9	84	0.188644	198.406	933.789	0.224251	55138.3	684.241	325636	7091.39
9	94	0.199122	116.093	1711.88	0.26956	55870.5	984.232	712768	5238.4
10	100	0.0471538	96.6863	2124.01	0.267983	40665.4	179.996	206373	4398.71
10	117	0.132946	115.384	935.342	0.267949	55861.4	481.256	715155	6985.2
10	108	0.136443	105.141	1702.52	0.238232	55448.6	488.411	638014	4781.01
10	113	0.144761	198.198	932.707	0.268097	55389.6	491.123	324592	6994
10	103	0.154729	117.704	1744.07	0.218207	50496.7	547.521	708418	5325.27
10	120	0.163577	114.801	1742.87	0.219712	31731.6	492.235	713283	4738.18
10	70	0.164015	104.193	1551.58	0.240337	36169.7	492.846	640918	4740.06
10	118	0.16949	116.787	1740.59	0.244372	55908.8	684.16	632623	4742.38
10	111	0.173484	117.545	1732.23	0.247244	56050.9	687.28	882105	6565.74
10	78	0.177021	116.432	1731.11	0.244913	49643.9	686.844	875506	6541.73
11	100	0.0471538	96.6863	2124.01	0.267983	40665.4	179.996	206373	4398.71
11	117	0.132946	115.384	935.342	0.267949	55861.4	481.256	715155	6985.2
11	108	0.136443	105.141	1702.52	0.238232	55448.6	488.411	638014	4781.01
11	113	0.144761	198.198	932.707	0.268097	55389.6	491.123	324592	6994
11	124	0.14863	105.226	2139.14	0.26986	55149.7	178.25	206042	4418.79
11	103	0.154729	117.704	1744.07	0.218207	50496.7	547.521	708418	5325.27
11	120	0.163577	114.801	1742.87	0.219712	31731.6	492.235	713283	4738.18
11	70	0.164015	104.193	1551.58	0.240337	36169.7	492.846	640918	4740.06
11	128	0.165272	118.639	1737.01	0.21699	56367.1	549.01	706405	5042.64
11	123	0.169376	115.89	4610.67	0.267756	56338.7	484.309	703834	6976.77
12	100	0.0471538	96.6863	2124.01	0.267983	40665.4	179.996	206373	4398.71
12	137	0.126869	126.608	1705.47	0.237688	55902.7	483.844	636029	6982.86
12	132	0.130324	104.63	4603.65	0.266286	55541.4	486.299	636405	6917.52
12	117	0.132946	115.384	935.342	0.267949	55861.4	481.256	715155	6985.2
12	108	0.136443	105.141	1702.52	0.238232	55448.6	488.411	638014	4781.01
12	113	0.144761	198.198	932.707	0.268097	55389.6	491.123	324592	6994
12	124	0.14863	105.226	2139.14	0.26986	55149.7	178.25	206042	4418.79
12	136	0.149052	199.52	1738.96	0.2188	55841.6	490.112	327154	7009.63
